,sentence,label
295,Aggreko 2015 Profit Declines - Quick Facts,0
296,Pearson lags as UK's FTSE slips off record high,0
297,RBS hands Â£3.3m of shares to top staff,2
298,Glencore sells agriculture stake for $2.5bn,2
299,Barclays says has spent $150 million on US 'living will',0
300,RBS share price: Group plans to slash 600 jobs,0
301,TRLPC - CRH backs Lafarge Holcim asset buy with 6.5 bln euro bridge loan,2
302,"Eurozone bank lending continues to recover, slowly, Barclays says",2
303,RBS breaks with past by tearing investment bank apart,0
304,Aberdeen Asset Management Gains Foothold In China,2
305,BP to pay investors $175m over Gulf spill claims,0
306,Persimmon sees post-election pick-up,2
307,Fewer multi-buys hurt Sainsbury's market share,0
308,Australia clears AB Inbev's $100 billion SABMiller buyout plan,2
309,"London open: Taylor Wimpey and Ashtead drive markets higher, Barclays falls",2
310,AstraZeneca profit down as sales of stalwarts fade,0
311,Tesco Mobile Partners with Unlockd to Change the Way Consumers Use and Pay for Their Mobile Phones,2
312,Associated British Foods helps FTSE to rebound,2
313,Why Shell Cut Ties to Conservative Lobby Group Over Climate Change,1
314,Johnson Matthey sells research chemicals unit to Thermo Scientific,2
315,Tesco rebounds as buyers sense a bargain,2
316,"Valeant CEO Returns From Leave, Company Withdraws Guidance",2
317,AstraZeneca shares climb 3% as drug maker ups profits forecasts,2
318,"FastJet slams EasyJet founder Stelios for going public, is ""taking legal advice"" over letter about contractual ...",0
319,"Failure of leadership' behind Tesco troubles, says former CEO Leahy",0
320,British American Tobacco says would fight UK 'plain packaging' law,0
321,"Hammerson, JV Partner secure ownership of Ireland's Dundrum - Quick Facts",2
322,Asahi could be about to snap up more of SABMiller's beers ahead of AB InBev sale,2
323,"Are ARM Holdings plc, Domino's Pizza Group plc and ASOS plc 3 must-have growth stocks?",1
324,Persimmon reports strong trading despite EU vote and planning delays,2
325,NYSE owner ICE considers offer for LSE,2
326,CompaniesSanofi poaches immunology expert from AstraZeneca,0
327,Mylan Appoints Ranjan Ray Chaudhuri as Global Commercial Lead for Mylan's Over ...,1
328,BP ends 27-year sponsorship of Tate as falling oil price takes toll,0
329,Royal Dutch Shell pulls plug on Arctic exploration,0
330,Horizonte acquires neighbouring Glencore nickel property in Brazil,2
331,"Standard Chartered, RBS Escape Capital Raising in Stress Test",2
332,FDA approves AstraZeneca drug for advanced lung cancer,2
333,Barclays poaches new chief operating officer Paul Compton from JP Morgan Chase,2
334,"Water utility Severn Trent ups savings forecast, FY profit falls",2
335,Reed Elsevier shares cool after profit dip,0
336,BAE Systems lines up oil exec Woodburn as next CEO -source,2
337,Diageo share price: Group issues half-year update,1
338,CompaniesDiageo moves CFO to lead North American business,1
339,"RBS, Lloyds Most Exposed to Commercial Property, JPMorgan Says",0
340,Legal & General share price: Finance chief to step down,0
341,CompaniesLSE adds ex-SEC head Schapiro to board,2
342,"European shares fall on Chinese import data, SABMiller soars",2
343,"News FeedSchroders books solid earnings growth, several board changes",2
344,"Valeant, AstraZeneca strike psoriasis drug deal",2
345,Barclays considers acquisition to help split off retail arm,2
346,CFTC fines Barclays $560000 for inaccurate swaps position reports,0
347,Merged LSE and Deutsche BÃ¶rse would be led by Germany's Kengeter,2
348,Tesco turnaround gathers pace under new CEO,2
349,"Tesco, Asda sales fall as march of the discounters continues: Kantar",0
350,"METALS-Zinc soars 10 pct, fuelling metals surge after Glencore cuts output",2
351,BP cuts capex for third time this year to deal with weak oil,0
352,Aspen to Buy Anaesthetics From AstraZeneca for $520 Million,2
353,Sainsbury chief warns of squeeze on high street retailers,0
354,US sanctions put Gazprom-Shell alliance plans in jeopardy,0
355,UPDATE 6-Royal Dutch Shell pulls plug on Arctic exploration,0
356,AB InBev to Sell SABMiller Stake in China's Snow Beer,2
357,Persimmon share price climbs on 23% rise in full-year revenue,2
358,Royal Mail hands chief executive Moya Greene a 13% rise in her pay package,2
359,Travis Perkins to create 4000 jobs,2
360,LSE-Deutsche BÃ¶rse dealmakers wrong to ignore Brexit risk,0
361,Britain cuts Lloyds Banking Group stake to below 17 pct,0
362,LONDON MORNING BRIEFING: HSBC And Standard Chartered Shares Rise,2
363,BP Reports $583 Million Loss in First Quarter,0
364,"Britain's FTSE led lower by ITV, William Hill",0
365,Barclays set to name former JPMorgan banker Staley as new CEO,1
366,Friday Papers: Sir Philip Green sells BHS for Â£1,2
367,"Warren Buffett's Berkshire adds to favorites IBM, Wells Fargo",2
368,Spain's CaixaBank Expects To Close Deal For Banco BPI,2
369,How Kraft-Heinz Merger Came Together in Speedy 10 Weeks,2
370,Persimmon revenues lifted 12% by post-election confidence,2
371,REFILE-Aviva Investors to move 34 bln euros in assets from AXA fund arm,2
372,US urges final approval of $20 billion BP oil spill pact,0
373,Diageo Sells Ryder Cup Venue Gleneagles Hotel to Ennismore Group,2
374,UPDATE 1-GSK-linked investigator freed early from China jail - source,2
375,"FTSE hits three-week low as financials, Tesco fall",0
376,LSE-Deutsche BÃ¶rse dealmakers wrong to ignore Brexit risk,0
377,Weir Group offloads two renewables units,2
378,Aggreko says first half profits will be lower as the oil price rout claims its latest victim,0
379,"Industry NewsRevenue, earnings take a tumble at Weir Group",0
380,"News FeedFTSE 100 movers: Ashtead jumps on strong interims; Glencore, BP in ...",2
381,"Sharm el-Sheikh travel disruption: British Airways, EasyJet, Thomson and ...",0
382,London stock exchange shareholders vote on merger deal under Brexit cloud,0
383,"UPDATE: AstraZeneca's Selumetinib Gets Orphan Drug Label, Good AZD9291 ...",2
384,Intercontinental Exchange Opts Not to Bid for London Stock Exchange,0
385,Dave Lewis paid Â£4.1m for first 6 months at Tesco,0
386,Weir Group says first-half profits will be 'slightly ahead' of expectations,2
387,Glencore Sells $2.5 Billion Stake in Agriculture Unit,2
388,AstraZeneca : FDA Panel Reviews Savor Study Results For Onglyza ...,2
389,Hargreaves Lansdown bucks weak markets to see assets rise 2.6 percent,2
390,"Britain's FTSE hits three-week low as financials, Tesco fall",0
391,Trading ExpertBROKER RECOMMENDATIONSUBS ups RBS to 'buy' as it re-initiates coverage on UK banks,2
392,"3G Capital, Warren Buffett's Favorite Partner in Deals Worth Billions",2
393,Shell's $70 Billion BG Deal Meets Shareholder Skepticism,0
394,GKN to buy Fokker Technologies for 706 mln euros,2
395,Questor share tip: Mondi shares jump 10pc on strong start,2
396,"Berkshire discloses unit's ties to Iran, opens probe",0
397,"Rio Tinto swings to loss, drops dividend policy",0
398,Rio Tinto Reaffirms Goal for Iron Ore Output,2
399,Shares in easyJet fall to three-year low after Brexit profit warning,0
400,Shire share price: Group releases full-year results,2
401,AstraZeneca share price: Company to carve out antibiotic R&D unit into separate ...,2
402,Ex-Barclays Trader Johnson Pleaded Guilty to Libor Fixing,0
403,SABMiller buys Meantime to quench thirst for craft beer,2
404,Standard Chartered to slash costs as profits plunge 25%,0
405,Buffett's Berkshire delivers 9.8% profit growth,2
406,"Rio Tinto CEO Sam Walsh rejects fears over China growth, demand",2
407,CompaniesShell sells stake in Showa Shell Sekiyu for $1.4bn,0
408,Reed Elsevier to rename itself RELX Group,1
409,Sotheby's chairman takes his final sale,0
410,Insight hires Aviva's David Hillier for multi-asset team,2
411,Shell offers 50 percent premium to buy BG for $70 billion,2
412,Novartis buys remaining rights to GSK treatment in deal up to $1 billion,2
413,AB InBev to sell Peroni and Grolsch,2
414,Unilever posts weaker-than-expected fourth quarter,0
415,UPDATE 1-Dairy Crest loses a third of Morrisons milk contract,0
416,Rolls-Royce Wins $9.2 Billion Order From Emirates Airline,2
417,Entertainment One dispels ITV takeover rumours,2
418,NYSE owner ICE considers offer for LSE,2
419,Novartis buys remaining rights to GSK treatment in deal up to $1 billion,2
420,"EU drops Shell, BP, Statoil from ethanol benchmark investigation",2
421,"HSBC Preparing Job Cuts That May Target 20000 Workers, Sky Says",0
422,"UPDATE 3-BP settles oil spill-related claims with Halliburton, Transocean",0
423,"PRESS: Serco Set To Appoint Roy Gardner, Ex-Centrica, As Chairman - FT",2
424,RBS bosses ordered to go out and meet small firms,2
425,AB InBev offers to sell some SABMiller brands,2
426,RPT-UK supermarkets braced for battle as Tesco comes out fighting,2
427,"UPDATE 1-Glencore flags sale of some Australia, Chile assets",2
428,Barclays says not been offered deferred prosecution deal by SFO,2
429,Aviva promises higher dividends to boost flagging share price,2
430,Brewer AB InBev seeks $275 bln tie-up with SABMiller,2
431,Intercontinental Exchange Opts Not to Bid for London Stock Exchange,0
432,"Glencore Cuts 2015 Budget, Plans To Divest From Lonmin",0
433,HSBC Posts Surprise Fourth-Quarter Pretax Loss of $858 Million,0
434,Earnings surge as fund manager Schroders reports a record year,2
435,Eurocrat left best-placed to unravel London Stock Exchange deal,0
436,Lawmakers worry AB InBev beer deal will hurt craft brewers,0
437,StanLife leads FTSE after strong earnings,2
438,Lloyds Banking Group eyes return to dealmaking with MBNA bid,2
439,Anheuser-Busch InBev Increases Offer for Rival SABMiller,2
440,"UK government sells more Lloyds shares, cuts stake to below 12 percent",0
441,Kinder Morgan and BP Form Joint Venture Limited Liability Company to Purchase ...,2
442,Tesco says UK store closures put 2000 jobs at risk,0
443,Tesco Versus Sainsbury: Weight-Watcher vs. Bodybuilder,2
444,"Buffett talks wind energy, Coca-Cola at Berkshire meeting",2
445,TSB boss: Current account switching must be simpler,0
446,Barclays CEO Staley Says Brexit Slump Caused by Profit Fears,0
447,Retailers Kingfisher and Sports Direct rise in Britain's share index,2
448,Berkshire Shareholders Pepper Warren Buffett With Some Hard Questions,0
449,"GLOBAL MARKETS-Stocks gain on Royal Dutch Shell bid, oil slumps",2
450,EasyJet Dismisses Lufthansa Low-Cost Plan in Contest for Germany,0
451,AstraZeneca says new lung cancer pill Tagrisso approved by EU,2
452,Two former Barclays traders face retrial over Libor,0
453,MarketsBP promotes upstream boss to deputy CEO,2
454,"Glencore swings to loss, will sell more assets",0
455,Shell to buy BG Group in $69.7 billion takeover,2
